id	description_en	codesystem	code	data_type	description_code	codelist_ref	input_type	properties	parent	comments
Consent form creator	Institute is a society or organization having a object or common factor, and is normally applied to those with a scientific, educational, or social objective.	SIO	000688	ST	Consent form creator	Institutes	multi-select	{url=https://semanticscience.org/resource/SIO_000688}	Leaflet and consent form	
Consent form version	A related resource that is a version, edition, or adaptation of the described resource.	DC	hasVersion	ST	Consent form version		text	{url=http://purl.org/dc/terms/hasVersion}	Leaflet and consent form	
Individual consent	Consent by a patient to a surgical or medical procedure or participation in a clinical study after achieving an understanding of the relevant medical facts and the risks involved.	NCIT	C16735	ST	Individual consent		multi-select	{url=http://purl.obolibrary.org/obo/NCIT_C16735}		
Individual consent identifier	A data item consisting of a unique identification code designating an informed consent.	ICO	0000044	ST	Individual consent identifier		text	{url=http://purl.obolibrary.org/obo/ICO_0000044}	Individual consent	
Person consenting	The person (subject) whom this individual consent applies.	IAO	0000136	ST	Person consenting		text	{url=http://purl.obolibrary.org/obo/IAO_0000136}	Individual consent	
Consent form used	The informed consent form that was signed.	IAO	0000136	ST	Consent form used		text	{url=http://purl.obolibrary.org/obo/IAO_0000136}	Individual consent	
Collected by	Indicates the person, group, or institution who performed the collection act.	NCIT	C45262	ST	Collected by	Institutes	single-select	{url=http://purl.obolibrary.org/obo/NCIT_C45262}	Individual consent	
Signing date	A date specification that designates when an informed consent form was signed.	ICO	0000036	DATE	Signing date		text	{url=http://purl.obolibrary.org/obo/ICO_0000036}	Individual consent	
Valid from	Starting date of the validity of a resource.	DC	valid	DATE	Valid from		text	{url=http://purl.org/dc/terms/valid}	Individual consent	
Valid until	End date of the validity of a resource.	DC	valid	DATE	Valid until		text	{url=http://purl.org/dc/terms/valid}	Individual consent	
Represented by	An individual who is authorized under applicable State or local law to consent on behalf of a child or incapable person to general medical care including participation in clinical research.	NCIT	C51828	ST	Represented by	RepresentedBy	single-select	{url=http://purl.obolibrary.org/obo/NCIT_C51828}	Individual consent	
Data use permissions	A data item that is used to indicate consent permissions for datasets and/or materials, and relates to the purposes for which datasets and/or material might be removed, stored or used.	DUO	0000001	ST	Data use permissions	DataUsePermissions	single-select	{url=http://purl.obolibrary.org/obo/DUO_0000001}	Individual consent	
Data use modifiers	Data use modifiers indicate additional conditions for use. For instance, a dataset is restricted to an instance of an investigation for a specific disease or at geographical location.	DUO	0000017	ST	Data use modifiers	DataUseModifiers	multi-select	{url=http://purl.obolibrary.org/obo/DUO_0000017}	Individual consent	
Modifiers specification	Details on any applied restrictions, such as which countries in case of a geographic restriction or which diseases when restricted to disease-specific research.	SIO	000090	ST	Modifiers specification		text	{url=http://semanticscience.org/resource/SIO_000090}	Individual consent	
Allow linkage	A study in which data from different sources are linked. Usually used to compile epidemiological data. The logic of record linkage is that two or more items of information about a person recorded at different times, and perhaps in different places, may be of greater value when considered together than when either is considered alone.	NCIT	C15424	BOOLEAN	Allow linkage		text	{url=http://purl.obolibrary.org/obo/NCIT_C15424}	Individual consent	
Allow recontacting	The procedure of recontacting the patient for specified reasons. This means the patient agrees to be re-identifiable under those circumstances.	NCIT	C25737	ST	Allow recontacting	Recontacting	multi-select	{url=http://purl.obolibrary.org/obo/NCIT_C25737}	Individual consent	
Clinical	Relating to the examination and treatment of patients dependent on direct observation.	NCIT	C25398	ST	Clinical		multi-select	{url=http://purl.obolibrary.org/obo/NCIT_C25398}		
Clinical identifier	A character or string used to name, or characterize a clinical events reference.	NCIT	C87853	ST	Clinical identifier		text	{url=http://purl.obolibrary.org/obo/NCIT_C87853}	Clinical	
Belongs to person	Link to the person whom the clinical information is about.	IAO	0000136	ST	Belongs to person		text	{url=http://purl.obolibrary.org/obo/IAO_0000136}	Clinical	
Phenotype	The outward appearance of the individual. In medical context, these are often the symptoms caused by a disease.	NCIT	C16977	ST	Phenotype	Phenotypes	multi-select	{url=http://purl.obolibrary.org/obo/NCIT_C16977}	Clinical	
Unobserved phenotype	Phenotypes or symptoms that were definitely not observed, which may help in differential diagnosis or establish incomplete penetrance.	HL7	C0442737	ST	Unobserved phenotype	Phenotypes	multi-select	{url=http://purl.bioontology.org/ontology/HL7/C0442737}	Clinical	
Phenotypic data available	Types of phenotypic data collected in a clinical setting that is potentially available upon request.	NCIT	C15783	ST	Phenotypic data available	DCMITypes	multi-select	{url=http://purl.obolibrary.org/obo/NCIT_C15783}	Clinical	
Clinical diagnosis	A diagnosis made from a study of the signs and symptoms of a disease.	NCIT	C15607	ST	Clinical diagnosis	Diseases	multi-select	{url=http://purl.obolibrary.org/obo/NCIT_C15607}	Clinical	
Molecular diagnosis gene	Gene affected by pathogenic variation that is causal for disease of the patient.	NCIT	C20826	ST	Molecular diagnosis gene	Genes	multi-select	{url=http://purl.obolibrary.org/obo/NCIT_C20826}	Clinical	
Molecular diagnosis other	Causal variant in HGVS notation with optional classification or free text explaining any other molecular mechanisms involved.	NCIT	C20826	ST	Molecular diagnosis other		text	{url=http://purl.obolibrary.org/obo/NCIT_C20826}	Clinical	
Age at diagnosis	The age, measured from some defined time point e.g. birth at which a subject (e.g. a human patient) is diagnosed with some disease e.g. breast cancer.	SNOMEDCT	423493009	INT	Age at diagnosis		text	{url=http://purl.bioontology.org/ontology/SNOMEDCT/423493009}	Clinical	
Age at last screening	Age of the patient at the moment of the most recent screening.	NCIT	C81258	INT	Age at last screening		text	{url=http://purl.obolibrary.org/obo/NCIT_C81258}	Clinical	
Medication	Unique identifier of a drug conforming to the Anatomical Therapeutic Chemical (ATC) Classification System, a drug classification system controlled by the WHO Collaborating Centre for Drug Statistics Methodology (WHOCC).	NCIT	C459	ST	Medication	Drugs	multi-select	{url=http://purl.obolibrary.org/obo/NCIT_C459}	Clinical	
Drug regimen	The specific way a therapeutic drug is to be taken, including formulation, route of administration, dose, dosing interval, and treatment duration.	NCIT	C142516	ST	Drug regimen		text	{url=http://purl.obolibrary.org/obo/NCIT_C142516}	Clinical	
Family members affected	This term applies to a family member who is diagnosed with the same condition as the individual who is the primary focus of investigation (the proband).	HP	0032320	ST	Family members affected	FamilyMembers	multi-select	{url=http://purl.obolibrary.org/obo/HP_0032320}	Clinical	
Family members sequenced	A person related by descent rather than by marriage or law that was also sequenced.	NCIT	C71384	ST	Family members sequenced	FamilyMembers	multi-select	{url=http://purl.obolibrary.org/obo/NCIT_C71384}	Clinical	
Consanguinity	Information on whether the patient is a child from two family members who are second cousins or closer.	GSSO	007578	ST	Consanguinity		text	{url=http://purl.obolibrary.org/obo/GSSO_007578}	Clinical	
Medical history	A record of a person's background regarding health, occurrence of disease events and surgical procedures.	NCIT	C18772	ST	Medical history	MedicalHistory	multi-select	{url=http://purl.obolibrary.org/obo/NCIT_C18772}	Clinical	
Age of onset	Age of onset of clinical manifestations related to a clinical entity.	Orphanet	C023	INT	Age of onset		text	{url=http://www.orpha.net/ORDO/Orphanet_C023}	Clinical	
First contact	First contact with specialised center in context of disease or inclusion.	LOINC	MTHU048806	DATE	First contact		text	{url=http://purl.bioontology.org/ontology/LNC/MTHU048806}	Clinical	
Functioning	Patient's classification of functioning i.e. disability profile according to International Classification of Functioning and Disability (ICF).	NCIT	C21007	ST	Functioning		text	{url=http://purl.obolibrary.org/obo/NCIT_C21007}	Clinical	
Material used in diagnosis	This diagnosis c.q. clinical examination is based on one or more sampled materials. [WORK IN PROGRESS. This field should be proper ReferenceMany to Material, but this is technically problematic due to circular dependencies.]	SIO	000641	ST	Material used in diagnosis		text	{url=http://semanticscience.org/resource/SIO_000641}	Clinical	
Material	Natural substances derived from living organisms such as cells, tissues, proteins, and DNA.	NCIT	C43376	ST	Material		multi-select	{url=http://purl.obolibrary.org/obo/NCIT_C43376}		
Material identifier	The unique identification of a material in a specific context.	NCIT	C93400	ST	Material identifier		text	{url=http://purl.obolibrary.org/obo/NCIT_C93400}	Material	
Collected from person	Link to the person from whom the material was collected.	SIO	000244	ST	Collected from person		text	{url=http://semanticscience.org/resource/SIO_000244}	Material	
Belongs to diagnosis	This material is part of a diagnosis c.q. clinical examination. There can be multiple diagnoses when a non-tumor material is reused as reference.	SIO	000068	ST	Belongs to diagnosis		text	{url=http://semanticscience.org/resource/SIO_000068}	Material	
Sampling timestamp	Date and time at which this sample was collected.	EFO	0000689	DATE	Sampling timestamp		text	{url=http://www.ebi.ac.uk/efo/EFO_0000689}	Material	
Registration timestamp	The act of listing or recording officially; officially qualified or enrolled.	NCIT	C25646	DATE	Registration timestamp		text	{url=http://purl.obolibrary.org/obo/NCIT_C25646}	Material	
Sampling protocol	Describes the procedure whereby biological material for an experiment is sampled.	EFO	0005518	ST	Sampling protocol		text	{url=http://www.ebi.ac.uk/efo/EFO_0005518}	Material	
Sampling protocol deviation	A variation from processes or procedures defined in the sampling protocol. Deviations usually do not preclude the overall evaluability of subject data for either efficacy or safety, and are often acknowledged and accepted in advance by the sponsor.	NCIT	C50996	ST	Sampling protocol deviation		text	{url=http://purl.obolibrary.org/obo/NCIT_C50996}	Material	
Reason for sampling protocol deviation	The rationale for why a deviation from the sampling protocol has occurred.	NCIT	C93529	ST	Reason for sampling protocol deviation		text	{url=http://purl.obolibrary.org/obo/NCIT_C93529}	Material	
Biospecimen type	The type of a material sample taken from a biological entity for testing, diagnostic, propagation, treatment or research purposes. This includes particular types of cellular molecules, cells, tissues, organs, body fluids, embryos, and body excretory substances.	NCIT	C70713	ST	Biospecimen type	MaterialTypes	single-select	{url=http://purl.obolibrary.org/obo/NCIT_C70713}	Material	
Anatomical source	Biological entity that constitutes the structural organization of an individual member of a biological species.	UBERON	0001062	ST	Anatomical source	AnatomicalSources	single-select	{url=http://purl.obolibrary.org/obo/UBERON_0001062}	Material	
Pathological state	A coded value specifying the pathological state of the tissue from which the biospecimen is derived.	NCIT	C25687	ST	Pathological state	PathologicalState	single-select	{url=http://purl.obolibrary.org/obo/NCIT_C25687}	Material	
Storage conditions	The conditions specified for the storage of a biological material.	NCIT	C96145	ST	Storage conditions	StorageConditions	single-select	{url=http://purl.obolibrary.org/obo/NCIT_C96145}	Material	
Expiration date	The date beyond which a substance is no longer regarded as fit for use.	NCIT	C164516	DATE	Expiration date		text	{url=http://purl.obolibrary.org/obo/NCIT_C164516}	Material	
Percentage tumor cells	The determination of the ratio of tumor cells compared to total cells present in a sample. The measurement may be expressed as a ratio or percentage.	NCIT	C127771	DECIMAL	Percentage tumor cells		text	{url=http://purl.obolibrary.org/obo/NCIT_C127771}	Material	
Physical location	A reference to a place on the Earth, by its name or by its geographical location. This definition is intentionally vague to allow reuse locally (e.g. which freezer), for contacting (e.g. which institute), broadly for logistical or legal reasons (e.g. city, country or continent).	GAZ	00000448	ST	Physical location		text	{url=http://purl.obolibrary.org/obo/GAZ_00000448}	Material	
Derived from	A material produced from or related to another. [WORK IN PROGRESS. This field should be proper ReferenceOne to Material, but this is technically problematic due to circular dependencies.]	NCIT	C28355	ST	Derived from		text	{url=http://purl.obolibrary.org/obo/NCIT_C28355}	Material	
Sample preparation	A sample preparation for assay that preparation of nucleic acids for a sequencing assay.	OBI	0001902	ST	Sample preparation		multi-select	{url=http://purl.obolibrary.org/obo/OBI_0001902}		
Sampleprep identifier	Any of one or more unique codes that refers to a specific protocol.	NCIT	C132299	ST	Sampleprep identifier		text	{url=http://purl.obolibrary.org/obo/NCIT_C132299}	Sample preparation	
Belongs to material	Link to the source material from which this sample was prepared.	NCIT	C25683	ST	Belongs to material		text	{url=http://purl.obolibrary.org/obo/NCIT_C25683}	Sample preparation	
Input amount	Amount of input material in ng.	AFRL	0000010	INT	Input amount		text	{url=http://purl.allotrope.org/ontologies/role#AFRL_0000010}	Sample preparation	
Library preparation kit	Pre-filled, ready-to-use reagent cartridges. Used to produce improved chemistry, cluster density and read length as well as improve quality (Q) scores. Reagent components are encoded to interact with the sequencing system to validate compatibility with user-defined applications.	GENEPIO	0000085	ST	Library preparation kit	NGSKits	single-select	{url=http://purl.obolibrary.org/obo/GENEPIO_0000085}	Sample preparation	
PCR free	A method for amplifying a DNA base sequence using multiple rounds of heat denaturation of the DNA and annealing of oligonucleotide primers complementary to flanking regions in the presence of a heat-stable polymerase. This results in duplication of the targeted DNA region. Newly synthesized DNA strands can subsequently serve as additional templates for the same primer sequences, so that successive rounds of primer annealing, strand elongation, and dissociation produce rapid and highly specific amplification of the desired sequence. PCR also can be used to detect the existence of the defined sequence in a DNA sample.	NCIT	C17003	BOOLEAN	PCR free		text	{url=http://purl.obolibrary.org/obo/NCIT_C17003}	Sample preparation	
Target enrichment kit	Any of various techniques designed to select or increase a target item in a mixed sample.	GENEPIO	0000081	ST	Target enrichment kit	NGSKits	single-select	{url=http://purl.obolibrary.org/obo/GENEPIO_0000081}	Sample preparation	
UMIs present	A unique molecular identifier (UMI) barcode is a short nucleotide sequence that is used to identify reads originating from an individual mRNA molecule.	EFO	0010199	BOOLEAN	UMIs present		text	{url=http://www.ebi.ac.uk/efo/EFO_0010199}	Sample preparation	
Intended insert size	In paired-end sequencing, the DNA between the adapter sequences is the insert. The length of this sequence is known as the insert size, not to be confused with the inner distance between reads. So, fragment length equals read adapter length (2x) plus insert size, and insert size equals read lenght (2x) plus inner distance.	FG	IntendedInsertSize	INT	Intended insert size		text	{url=https://fair-genomes.org/IntendedInsertSize}	Sample preparation	
Intended read length	The number of nucleotides successfully ordered from each side of a nucleic acid fragment obtained after the completion of a sequencing process.	NCIT	C153362	INT	Intended read length		text	{url=http://purl.obolibrary.org/obo/NCIT_C153362}	Sample preparation	
Sequencing	The determination of complete (typically nucleotide) sequences, including those of genomes (full genome sequencing, de novo sequencing and resequencing), amplicons and transcriptomes.	EDAM	topic_3168	ST	Sequencing		multi-select	{url=http://edamontology.org/topic_3168}		
Sequencing identifier	A unique identifier assigned to raw data from a performed nucleic acid sequencing assay.	NCIT	C171337	ST	Sequencing identifier		text	{url=http://purl.obolibrary.org/obo/NCIT_C171337}	Sequencing	
Belongs to sample	Link to the prepared sample i.e. source that was sequenced.	NCIT	C25683	ST	Belongs to sample		text	{url=http://purl.obolibrary.org/obo/NCIT_C25683}	Sequencing	
Sequencing date	Date the sequencing run was performed.	GENEPIO	0000069	DATE	Sequencing date		text	{url=http://purl.obolibrary.org/obo/GENEPIO_0000069}	Sequencing	
Sequencing platform	A sequencing plaform (brand) is a name of a company that produces sequencer equipment.	GENEPIO	0000071	ST	Sequencing platform	SequencingPlatform	single-select	{url=http://purl.obolibrary.org/obo/GENEPIO_0000071}	Sequencing	
Sequencing instrument model	A product name and model number of a manufacturer's genomic (dna) sequencer.	GENEPIO	0001921	ST	Sequencing instrument model	SequencingInstrumentModels	single-select	{url=http://purl.obolibrary.org/obo/GENEPIO_0001921}	Sequencing	
Sequencing type	Sequencing distinguishable as an identifiable class based on common qualities.	NCIT	C25284	ST	Sequencing type	SequencingTypes	single-select	{url=http://purl.obolibrary.org/obo/NCIT_C25284}	Sequencing	
Average read depth	The average number of times a particular locus (site, nucleotide, amplicon, region) was sequenced.	NCIT	C155320	INT	Average read depth		text	{url=http://purl.obolibrary.org/obo/NCIT_C155320}	Sequencing	
Observed read length	The number of nucleotides successfully ordered from each side of a nucleic acid fragment obtained after the completion of a sequencing process.	NCIT	C153362	INT	Observed read length		text	{url=http://purl.obolibrary.org/obo/NCIT_C153362}	Sequencing	
Observed insert size	In paired-end sequencing, the DNA between the adapter sequences is the insert. The length of this sequence is known as the insert size, not to be confused with the inner distance between reads. So, fragment length equals read adapter length (2x) plus insert size, and insert size equals read lenght (2x) plus inner distance.	FG	ObservedInsertSize	INT	Observed insert size		text	{url=https://fair-genomes.org/ObservedInsertSize}	Sequencing	
Percentage Q30	Percentage of reads with a Phred quality score over 30, which indicates less than a 1/1000 chance that the base was called incorrectly.	GENEPIO	0000089	DECIMAL	Percentage Q30		text	{url=http://purl.obolibrary.org/obo/GENEPIO_0000089}	Sequencing	
Percentage TR20	Percentage of the target sequence on which 20 or more unique reads were successfully mapped.	FG	PercentageTR20	DECIMAL	Percentage TR20		text	{url=https://fair-genomes.org/PercentageTR20}	Sequencing	
Other quality metrics	Other NGS quality control metrics, including but not limited to (i) sequencer metrics such as yield, error rate, density (K/mm2), cluster PF (%) and phas/prephas (%), (ii) alignment metrics such as QM insert size, GC content, QM duplicated reads (%), QM error rate, uniformity/evenness of coverage and maternal cell contamination, and (iii) variant call metrics such as number of SNVs/CNVs/SVs called, number of missense/nonsense variants, common variants (%), unique variants (%), gender match and trio inheritance check.	EDAM	data_3914	ST	Other quality metrics		text	{url=http://edamontology.org/data_3914}	Sequencing	
Analysis	Apply analytical methods to existing data of a specific type.	EDAM	operation_2945	ST	Analysis		multi-select	{url=http://edamontology.org/operation_2945}		
Analysis identifier	An assay identifier is an identifier that identifies some assay (analysis).	AFR	0001979	ST	Analysis identifier		text	{url=http://purl.allotrope.org/ontologies/result#AFR_0001979}	Analysis	
Belongs to sequencing	Link to the sequencing performed i.e. source on which the analysis is based.	NCIT	C25683	ST	Belongs to sequencing		text	{url=http://purl.obolibrary.org/obo/NCIT_C25683}	Analysis	
Physical data location	A reference to a place on the Earth, by its name or by its geographical location. This definition is intentionally vague to allow reuse locally (e.g. which computer), for contacting (e.g. which institute), broadly for logistical or legal reasons (e.g. city, country or continent).	GAZ	00000448	ST	Physical data location		text	{url=http://purl.obolibrary.org/obo/GAZ_00000448}	Analysis	
Abstract data location	To maintain data by placing the data, or a copy of the data, onto an electronically accessible device for preservation (either in plain-text or encrypted format).	NCIT	C142494	ST	Abstract data location		text	{url=http://purl.obolibrary.org/obo/NCIT_C142494}	Analysis	
Data formats stored	A defined way or layout of representing and structuring data in a computer file, blob, string, message, or elsewhere.	EDAM	format_1915	ST	Data formats stored	DataFormats	multi-select	{url=http://edamontology.org/format_1915}	Analysis	
Algorithms used	A defined procedure for solving a problem. Applied to a problem-solving procedure implemented in software to be executed by a computer.	NCIT	C16275	ST	Algorithms used		text	{url=http://purl.obolibrary.org/obo/NCIT_C16275}	Analysis	
Bioinformatic protocol used	A human-readable collection of information about about how a scientific experiment or analysis was carried out that results in a specific set of data or results used for further analysis or to test a specific hypothesis.	EDAM	data_2531	ST	Bioinformatic protocol used		text	{url=http://edamontology.org/data_2531}	Analysis	
Bioinformatic protocol deviation	A variation from processes or procedures defined in the bioinformatic protocol. Deviations usually do not preclude the overall evaluability of subject data for either efficacy or safety, and are often acknowledged and accepted in advance by the sponsor.	NCIT	C50996	ST	Bioinformatic protocol deviation		text	{url=http://purl.obolibrary.org/obo/NCIT_C50996}	Analysis	
Reason for bioinformatic protocol deviation	The rationale for why a deviation from the bioinformatic protocol has occurred.	NCIT	C93529	ST	Reason for bioinformatic protocol deviation		text	{url=http://purl.obolibrary.org/obo/NCIT_C93529}	Analysis	
WGS guideline followed	Any followed systematic statement of policy rules or principles. Guidelines may be developed by government agencies at any level, institutions, professional societies, governing boards, or by convening expert panels.	NCIT	C17564	ST	WGS guideline followed		text	{url=http://purl.obolibrary.org/obo/NCIT_C17564}	Analysis	
