value	description	codesystem	code	iri
Auto MagMeDIP 10 rxn by Diagenode	Auto MagMeDIP 10 rxn by Diagenode sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT16	https://fair-genomes.org/KIT16
InviGene Bisulfite Conversion Kit - 50 conversions by AS ONE INTERNATIONAL	InviGene Bisulfite Conversion Kit - 50 conversions by AS ONE INTERNATIONAL sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT17	https://fair-genomes.org/KIT17
InviMag Bisulfite Conversion Kit/ IG - 4 x 12 conversions by AS ONE INTERNATIONAL	InviMag Bisulfite Conversion Kit/ IG - 4 x 12 conversions by AS ONE INTERNATIONAL sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT18	https://fair-genomes.org/KIT18
EpiNext Bisulfite Sequencing Kit (Illumina) by EpiGentek	EpiNext Bisulfite Sequencing Kit (Illumina) by EpiGentek sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT19	https://fair-genomes.org/KIT19
EpiNext ChIP-Seq High-Sensitivity Kit (Illumina) by EpiGentek	EpiNext ChIP-Seq High-Sensitivity Kit (Illumina) by EpiGentek sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT20	https://fair-genomes.org/KIT20
Seq-Star DNA Size Selection Kit by Arraystar, Inc	Seq-Star DNA Size Selection Kit by Arraystar, Inc sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT21	https://fair-genomes.org/KIT21
Seq-Star poly(A) mRNA Isolation Kit by Arraystar, Inc	Seq-Star poly(A) mRNA Isolation Kit by Arraystar, Inc sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT22	https://fair-genomes.org/KIT22
Auto MagMeDIP 48 rxn by Diagenode	Auto MagMeDIP 48 rxn by Diagenode sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT23	https://fair-genomes.org/KIT23
Auto Universal Plant ChIP-seq kit by Diagenode	Auto Universal Plant ChIP-seq kit by Diagenode sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT24	https://fair-genomes.org/KIT24
Auto iDeal ChIP-seq Kit for Transcription Factors by Diagenode	Auto iDeal ChIP-seq Kit for Transcription Factors by Diagenode sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT25	https://fair-genomes.org/KIT25
Auto iDeal ChIP-seq Kit for Transcription Factors x24 by Diagenode	Auto iDeal ChIP-seq Kit for Transcription Factors x24 by Diagenode sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT26	https://fair-genomes.org/KIT26
Auto iDeal ChIP-seq kit for Histones x100 by Diagenode	Auto iDeal ChIP-seq kit for Histones x100 by Diagenode sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT27	https://fair-genomes.org/KIT27
Auto iDeal ChIP-seq kit for Histones x24 by Diagenode	Auto iDeal ChIP-seq kit for Histones x24 by Diagenode sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT28	https://fair-genomes.org/KIT28
CATS RNA-seq by Diagenode	CATS RNA-seq by Diagenode sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT29	https://fair-genomes.org/KIT29
CATS mRNA-seq (with polyA selection) by Diagenode	CATS mRNA-seq (with polyA selection) by Diagenode sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT30	https://fair-genomes.org/KIT30
CATS small RNA-seq by Diagenode	CATS small RNA-seq by Diagenode sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT31	https://fair-genomes.org/KIT31
CATS total RNA-seq (with rRNA depletion) by Diagenode	CATS total RNA-seq (with rRNA depletion) by Diagenode sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT32	https://fair-genomes.org/KIT32
Universal Plant ChIP-seq kit by Diagenode	Universal Plant ChIP-seq kit by Diagenode sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT33	https://fair-genomes.org/KIT33
iDeal ChIP-seq Kit for Transcription Factors x100 by Diagenode	iDeal ChIP-seq Kit for Transcription Factors x100 by Diagenode sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT34	https://fair-genomes.org/KIT34
iDeal ChIP-seq kit for Histones x10 by Diagenode	iDeal ChIP-seq kit for Histones x10 by Diagenode sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT35	https://fair-genomes.org/KIT35
iDeal ChIP-seq kit for Histones x100 by Diagenode	iDeal ChIP-seq kit for Histones x100 by Diagenode sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT36	https://fair-genomes.org/KIT36
iDeal ChIP-seq kit for Histones x24 by Diagenode	iDeal ChIP-seq kit for Histones x24 by Diagenode sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT37	https://fair-genomes.org/KIT37
iDeal ChIP-seq kit for Transcription Factors x10 by Diagenode	iDeal ChIP-seq kit for Transcription Factors x10 by Diagenode sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT38	https://fair-genomes.org/KIT38
iDeal ChIP-seq kit for Transcription Factors x24 by Diagenode	iDeal ChIP-seq kit for Transcription Factors x24 by Diagenode sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT39	https://fair-genomes.org/KIT39
KAPA Library Quantification Kit (Bio-Rad) by Roche	KAPA Library Quantification Kit (Bio-Rad) by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT40	https://fair-genomes.org/KIT40
KAPA Library Quantification Kit (ROX Low) by Roche	KAPA Library Quantification Kit (ROX Low) by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT41	https://fair-genomes.org/KIT41
KAPA Library Quantification Kit (Universal) by Roche	KAPA Library Quantification Kit (Universal) by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT42	https://fair-genomes.org/KIT42
KAPA Library Quantification Kit (optimized for Roche LightCycler 480) by Roche	KAPA Library Quantification Kit (optimized for Roche LightCycler 480) by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT43	https://fair-genomes.org/KIT43
KAPA Library Quantification Kits by Roche	KAPA Library Quantification Kits by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT44	https://fair-genomes.org/KIT44
KAPA Low throughput Library Preparation KitIllumina, with bead by Roche	KAPA Low throughput Library Preparation KitIllumina, with bead by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT45	https://fair-genomes.org/KIT45
KAPA Low throughput Library Preparation KitIllumina, with bead, PCR-free by Roche	KAPA Low throughput Library Preparation KitIllumina, with bead, PCR-free by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT46	https://fair-genomes.org/KIT46
KAPA Low throughput Library Preparation KitIllumina, with real-time PCR library amplification by Roche	KAPA Low throughput Library Preparation KitIllumina, with real-time PCR library amplification by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT47	https://fair-genomes.org/KIT47
KAPA Low throughput Library Preparation KitIllumina, with real-time library amplification by Roche	KAPA Low throughput Library Preparation KitIllumina, with real-time library amplification by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT48	https://fair-genomes.org/KIT48
KAPA Low throughput Library Preparation KitIon Torrent by Roche	KAPA Low throughput Library Preparation KitIon Torrent by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT49	https://fair-genomes.org/KIT49
KAPA Low throughput Library Preparation KitIon Torrent, PCR free by Roche	KAPA Low throughput Library Preparation KitIon Torrent, PCR free by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT50	https://fair-genomes.org/KIT50
KAPA RNA HyperPrep Kits by Roche	KAPA RNA HyperPrep Kits by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT51	https://fair-genomes.org/KIT51
KAPA Real-time PCR library amplification Kit, with fluorescent standards by Roche	KAPA Real-time PCR library amplification Kit, with fluorescent standards by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT52	https://fair-genomes.org/KIT52
KAPA Stranded RNA-Seq KitIllumina by Roche	KAPA Stranded RNA-Seq KitIllumina by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT53	https://fair-genomes.org/KIT53
KAPA Stranded RNA-Seq with RiboErase (HMR) 24 Reactions by Roche	KAPA Stranded RNA-Seq with RiboErase (HMR) 24 Reactions by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT54	https://fair-genomes.org/KIT54
KAPA Stranded RNA-Seq with RiboErase (HMR) 96 Reactions by Roche	KAPA Stranded RNA-Seq with RiboErase (HMR) 96 Reactions by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT55	https://fair-genomes.org/KIT55
KAPA Stranded mRNA-Seq KitIllumina, with KAPA mRNA Capture Beads by Roche	KAPA Stranded mRNA-Seq KitIllumina, with KAPA mRNA Capture Beads by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT56	https://fair-genomes.org/KIT56
SeqCap Adapter Kit A by Roche	SeqCap Adapter Kit A by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT57	https://fair-genomes.org/KIT57
SeqCap Adapter Kit B by Roche	SeqCap Adapter Kit B by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT58	https://fair-genomes.org/KIT58
SeqCap Epi System by Roche	SeqCap Epi System by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT59	https://fair-genomes.org/KIT59
KAPA HyperPrep Kits by Roche	KAPA HyperPrep Kits by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT60	https://fair-genomes.org/KIT60
Adapter Kit, barcodes 1 - 8 by Roche	Adapter Kit, barcodes 1 - 8 by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT61	https://fair-genomes.org/KIT61
Adapter Kit, barcodes 17 - 24 by Roche	Adapter Kit, barcodes 17 - 24 by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT62	https://fair-genomes.org/KIT62
Adapter Kit, barcodes 9 - 16 by Roche	Adapter Kit, barcodes 9 - 16 by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT63	https://fair-genomes.org/KIT63
Adapter Kit, non-barcoded by Roche	Adapter Kit, non-barcoded by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT64	https://fair-genomes.org/KIT64
KAPA High Throughput Library Preparation Kit by Roche	KAPA High Throughput Library Preparation Kit by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT65	https://fair-genomes.org/KIT65
KAPA High throughput Library Preparation KitIllumina, with bead by Roche	KAPA High throughput Library Preparation KitIllumina, with bead by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT66	https://fair-genomes.org/KIT66
KAPA High throughput Library Preparation KitIllumina, with bead, PCR-free by Roche	KAPA High throughput Library Preparation KitIllumina, with bead, PCR-free by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT67	https://fair-genomes.org/KIT67
KAPA Hyper Prep KitIllumina, with KAPA Library Amplification Primer Mix (10X) by Roche	KAPA Hyper Prep KitIllumina, with KAPA Library Amplification Primer Mix (10X) by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT68	https://fair-genomes.org/KIT68
KAPA Hyper Prep KitIllumina, without amplification module by Roche	KAPA Hyper Prep KitIllumina, without amplification module by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT69	https://fair-genomes.org/KIT69
KAPA HyperPlus Kit, PCR-Free by Roche	KAPA HyperPlus Kit, PCR-Free by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT70	https://fair-genomes.org/KIT70
KAPA HyperPlus Kit, with Library Amplification by Roche	KAPA HyperPlus Kit, with Library Amplification by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT71	https://fair-genomes.org/KIT71
KAPA Library Amplification Kit with primer mix by Roche	KAPA Library Amplification Kit with primer mix by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT72	https://fair-genomes.org/KIT72
KAPA Library Amplification Kit - Standard kit by Roche	KAPA Library Amplification Kit - Standard kit by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT73	https://fair-genomes.org/KIT73
KAPA Library Preparation Kits by Roche	KAPA Library Preparation Kits by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT74	https://fair-genomes.org/KIT74
KAPA Library Quantification Kit (ABI Prism) by Roche	KAPA Library Quantification Kit (ABI Prism) by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT75	https://fair-genomes.org/KIT75
ClaSeek Library Preparation Kit, Illumina compatible by Thermo Fisher Scientific	ClaSeek Library Preparation Kit, Illumina compatible by Thermo Fisher Scientific sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT76	https://fair-genomes.org/KIT76
Bisulfite-Seq High Sensitivity Kit (For Illumina) by Abcam	Bisulfite-Seq High Sensitivity Kit (For Illumina) by Abcam sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT77	https://fair-genomes.org/KIT77
ChIP-Seq High Sensitivity Kit by Abcam	ChIP-Seq High Sensitivity Kit by Abcam sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT78	https://fair-genomes.org/KIT78
RhinoSeq DNA Library Preparation Kit by SeqOnce Biosciences	RhinoSeq DNA Library Preparation Kit by SeqOnce Biosciences sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT79	https://fair-genomes.org/KIT79
ClearSeq AML, HS, ILM, 16 by Agilent Technologies	ClearSeq AML, HS, ILM, 16 by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT80	https://fair-genomes.org/KIT80
ClearSeq AML, HS, ILM, 96 by Agilent Technologies	ClearSeq AML, HS, ILM, 96 by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT81	https://fair-genomes.org/KIT81
Wizard MagneSil Sequencing Reaction Clean-Up System by Promega	Wizard MagneSil Sequencing Reaction Clean-Up System by Promega sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT82	https://fair-genomes.org/KIT82
NucleoMag NGS Clean-up and Size Select by MACHEREY-NAGEL	NucleoMag NGS Clean-up and Size Select by MACHEREY-NAGEL sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT83	https://fair-genomes.org/KIT83
NucleoSEQ by MACHEREY-NAGEL	NucleoSEQ by MACHEREY-NAGEL sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT84	https://fair-genomes.org/KIT84
SeqCap RNA Choice Enrichment Kit by Roche NimbleGen	SeqCap RNA Choice Enrichment Kit by Roche NimbleGen sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT85	https://fair-genomes.org/KIT85
SeqCap RNA Choice XL Enrichment Kit by Roche NimbleGen	SeqCap RNA Choice XL Enrichment Kit by Roche NimbleGen sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT86	https://fair-genomes.org/KIT86
Twist Fast Hybridization and Wash Kit by Twist Bioscience	Twist Fast Hybridization and Wash Kit by Twist Bioscience sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT87	https://fair-genomes.org/KIT87
GeneJET NGS Cleanup Kit by Thermo Fisher Scientific	GeneJET NGS Cleanup Kit by Thermo Fisher Scientific sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT88	https://fair-genomes.org/KIT88
GeneJET NGS Cleanup Kit (165 mL) by Thermo Fisher Scientific	GeneJET NGS Cleanup Kit (165 mL) by Thermo Fisher Scientific sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT89	https://fair-genomes.org/KIT89
GeneJET NGS Cleanup Kit (40 mL) by Thermo Fisher Scientific	GeneJET NGS Cleanup Kit (40 mL) by Thermo Fisher Scientific sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT90	https://fair-genomes.org/KIT90
GeneJET NGS Cleanup Kit (44 mL) by Thermo Fisher Scientific	GeneJET NGS Cleanup Kit (44 mL) by Thermo Fisher Scientific sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT91	https://fair-genomes.org/KIT91
MagJET NGS Cleanup and Size Selection Kit by Thermo Fisher Scientific	MagJET NGS Cleanup and Size Selection Kit by Thermo Fisher Scientific sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT92	https://fair-genomes.org/KIT92
MagJET NGS Cleanup and Size Selection Kit (1 x 96 preps) by Thermo Fisher Scientific	MagJET NGS Cleanup and Size Selection Kit (1 x 96 preps) by Thermo Fisher Scientific sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT93	https://fair-genomes.org/KIT93
MagJET NGS Cleanup and Size Selection Kit (10 x 96 preps) by Thermo Fisher Scientific	MagJET NGS Cleanup and Size Selection Kit (10 x 96 preps) by Thermo Fisher Scientific sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT94	https://fair-genomes.org/KIT94
MagJET NGS Cleanup and Size Selection Kit (4 x 96 preps) by Thermo Fisher Scientific	MagJET NGS Cleanup and Size Selection Kit (4 x 96 preps) by Thermo Fisher Scientific sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT95	https://fair-genomes.org/KIT95
MuSeek Barcode Set 1, Ion Torrent compatible by Thermo Fisher Scientific	MuSeek Barcode Set 1, Ion Torrent compatible by Thermo Fisher Scientific sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT96	https://fair-genomes.org/KIT96
MuSeek Index Set 1, Illumina compatible by Thermo Fisher Scientific	MuSeek Index Set 1, Illumina compatible by Thermo Fisher Scientific sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT97	https://fair-genomes.org/KIT97
MuSeek Library Preparation Kit, Illumina compatible by Thermo Fisher Scientific	MuSeek Library Preparation Kit, Illumina compatible by Thermo Fisher Scientific sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT98	https://fair-genomes.org/KIT98
RiboMinus Eukaryote Kit for RNA-Seq by Thermo Fisher Scientific	RiboMinus Eukaryote Kit for RNA-Seq by Thermo Fisher Scientific sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT99	https://fair-genomes.org/KIT99
RiboMinus Plant Kit for RNA-Seq by Thermo Fisher Scientific	RiboMinus Plant Kit for RNA-Seq by Thermo Fisher Scientific sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT100	https://fair-genomes.org/KIT100
EpiTect 96 Bisulfite Kit (2) by QIAGEN - Sample to Insight	EpiTect 96 Bisulfite Kit (2) by QIAGEN - Sample to Insight sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT101	https://fair-genomes.org/KIT101
EpiTect Bisulfite Kit (48) by QIAGEN - Sample to Insight	EpiTect Bisulfite Kit (48) by QIAGEN - Sample to Insight sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT102	https://fair-genomes.org/KIT102
SureSelectXT2 HumanAllExon V5+UTRs, 96 by Agilent Technologies	SureSelectXT2 HumanAllExon V5+UTRs, 96 by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT103	https://fair-genomes.org/KIT103
SureSelectXT2 HumanAllExon V5, 16 by Agilent Technologies	SureSelectXT2 HumanAllExon V5, 16 by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT104	https://fair-genomes.org/KIT104
SureSelectXT2 HumanAllExon V5, 96 by Agilent Technologies	SureSelectXT2 HumanAllExon V5, 96 by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT105	https://fair-genomes.org/KIT105
SureSelectXT2 Mouse All Exon library, pr by Agilent Technologies	SureSelectXT2 Mouse All Exon library, pr by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT106	https://fair-genomes.org/KIT106
SureSelectXT2 Mouse All Exon, 16 by Agilent Technologies	SureSelectXT2 Mouse All Exon, 16 by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT107	https://fair-genomes.org/KIT107
SureSelectXT2 Mouse All Exon, 96 by Agilent Technologies	SureSelectXT2 Mouse All Exon, 96 by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT108	https://fair-genomes.org/KIT108
SureSelectXT2 Reagent Kit, HSQ,480,Auto by Agilent Technologies	SureSelectXT2 Reagent Kit, HSQ,480,Auto by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT109	https://fair-genomes.org/KIT109
SureSelectXT2 Reagent Kit, MSQ,480,Auto by Agilent Technologies	SureSelectXT2 Reagent Kit, MSQ,480,Auto by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT110	https://fair-genomes.org/KIT110
SureSelectXT2 Reagent kit for up to 480 by Agilent Technologies	SureSelectXT2 Reagent kit for up to 480 by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT111	https://fair-genomes.org/KIT111
SureSelectXT2 Reagent kit, HSQ, 16 by Agilent Technologies	SureSelectXT2 Reagent kit, HSQ, 16 by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT112	https://fair-genomes.org/KIT112
SureSelectXT2 Reagent kit, HSQ, 96 by Agilent Technologies	SureSelectXT2 Reagent kit, HSQ, 96 by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT113	https://fair-genomes.org/KIT113
SureSelectXT2 Reagent kit, HSQ, 96,Auto by Agilent Technologies	SureSelectXT2 Reagent kit, HSQ, 96,Auto by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT114	https://fair-genomes.org/KIT114
SureSelectXT2 Reagent kit, MSQ, 16 by Agilent Technologies	SureSelectXT2 Reagent kit, MSQ, 16 by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT115	https://fair-genomes.org/KIT115
SureSelectXT2 Reagent kit, MSQ, 96 by Agilent Technologies	SureSelectXT2 Reagent kit, MSQ, 96 by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT116	https://fair-genomes.org/KIT116
SureSelectXT2 Reagent kit, MSQ, 96,Auto by Agilent Technologies	SureSelectXT2 Reagent kit, MSQ, 96,Auto by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT117	https://fair-genomes.org/KIT117
SureSelectXT2 Custom 3-5.9Mb, 96, RO by Agilent Technologies	SureSelectXT2 Custom 3-5.9Mb, 96, RO by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT118	https://fair-genomes.org/KIT118
SureSelectXT2 Custom 3-5.9Mb,480,Auto,RO by Agilent Technologies	SureSelectXT2 Custom 3-5.9Mb,480,Auto,RO by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT119	https://fair-genomes.org/KIT119
SureSelectXT2 Custom 6-11.9Mb, 16 by Agilent Technologies	SureSelectXT2 Custom 6-11.9Mb, 16 by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT120	https://fair-genomes.org/KIT120
SureSelectXT2 Custom 6-11.9Mb, 16, RO by Agilent Technologies	SureSelectXT2 Custom 6-11.9Mb, 16, RO by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT121	https://fair-genomes.org/KIT121
SureSelectXT2 Custom 6-11.9Mb, 480 by Agilent Technologies	SureSelectXT2 Custom 6-11.9Mb, 480 by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT122	https://fair-genomes.org/KIT122
SureSelectXT2 Custom 6-11.9Mb, 480, Auto by Agilent Technologies	SureSelectXT2 Custom 6-11.9Mb, 480, Auto by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT123	https://fair-genomes.org/KIT123
SureSelectXT2 Custom 6-11.9Mb, 480, RO by Agilent Technologies	SureSelectXT2 Custom 6-11.9Mb, 480, RO by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT124	https://fair-genomes.org/KIT124
SureSelectXT2 Custom 6-11.9Mb, 96 by Agilent Technologies	SureSelectXT2 Custom 6-11.9Mb, 96 by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT125	https://fair-genomes.org/KIT125
SureSelectXT2 Custom 6-11.9Mb, 96, Auto by Agilent Technologies	SureSelectXT2 Custom 6-11.9Mb, 96, Auto by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT126	https://fair-genomes.org/KIT126
SureSelectXT2 Custom 6-11.9Mb, 96, RO by Agilent Technologies	SureSelectXT2 Custom 6-11.9Mb, 96, RO by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT127	https://fair-genomes.org/KIT127
SureSelectXT2 Custom 6-11.9Mb,96,Auto,RO by Agilent Technologies	SureSelectXT2 Custom 6-11.9Mb,96,Auto,RO by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT128	https://fair-genomes.org/KIT128
