value	description	codesystem	code	iri
Hot water reflex epilepsy	Hot water reflex epilepsy	Orphanet	166412	http://www.orpha.net/ORDO/Orphanet_166412
Reading seizures	Reading seizures	Orphanet	166433	http://www.orpha.net/ORDO/Orphanet_166433
Micturation-induced seizures	Micturation-induced seizures	Orphanet	166430	http://www.orpha.net/ORDO/Orphanet_166430
Turner syndrome	Turner syndrome	Orphanet	881	http://www.orpha.net/ORDO/Orphanet_881
Startle epilepsy	Startle epilepsy	Orphanet	166427	http://www.orpha.net/ORDO/Orphanet_166427
Thinking seizures	Thinking seizures	Orphanet	166424	http://www.orpha.net/ORDO/Orphanet_166424
Friedreich ataxia	Friedreich ataxia	Orphanet	95	http://www.orpha.net/ORDO/Orphanet_95
Neurocutaneous syndrome with epilepsy	Neurocutaneous syndrome with epilepsy	Orphanet	166466	http://www.orpha.net/ORDO/Orphanet_166466
Beta-thalassemia	Beta-thalassemia	Orphanet	848	http://www.orpha.net/ORDO/Orphanet_848
Chromosomal anomaly with epilepsy as a major feature	Chromosomal anomaly with epilepsy as a major feature	Orphanet	166469	http://www.orpha.net/ORDO/Orphanet_166469
Alpha-thalassemia	Alpha-thalassemia	Orphanet	846	http://www.orpha.net/ORDO/Orphanet_846
Cystic fibrosis	Cystic fibrosis	Orphanet	586	http://www.orpha.net/ORDO/Orphanet_586
Epilepsy syndrome	Epilepsy syndrome	Orphanet	166463	http://www.orpha.net/ORDO/Orphanet_166463
Duchenne and Becker muscular dystrophy	Duchenne and Becker muscular dystrophy	Orphanet	262	http://www.orpha.net/ORDO/Orphanet_262
Cerebral malformation with epilepsy	Cerebral malformation with epilepsy	Orphanet	166478	http://www.orpha.net/ORDO/Orphanet_166478
Metabolic diseases with epilepsy	Metabolic diseases with epilepsy	Orphanet	166481	http://www.orpha.net/ORDO/Orphanet_166481
Monogenic disease with epilepsy	Monogenic disease with epilepsy	Orphanet	166472	http://www.orpha.net/ORDO/Orphanet_166472
Idiopathic or cryptogenic familial epilepsy syndrome with identified loci/genes	Idiopathic or cryptogenic familial epilepsy syndrome with identified loci/genes	Orphanet	166475	http://www.orpha.net/ORDO/Orphanet_166475
Emery-Dreifuss muscular dystrophy	Emery-Dreifuss muscular dystrophy	Orphanet	261	http://www.orpha.net/ORDO/Orphanet_261
Infectious disease with epilepsy	Infectious disease with epilepsy	Orphanet	166490	http://www.orpha.net/ORDO/Orphanet_166490
Inflammatory and autoimmune disease with epilepsy	Inflammatory and autoimmune disease with epilepsy	Orphanet	166484	http://www.orpha.net/ORDO/Orphanet_166484
Cerebral diseases of vascular origin with epilepsy	Cerebral diseases of vascular origin with epilepsy	Orphanet	166487	http://www.orpha.net/ORDO/Orphanet_166487
MELAS	MELAS	Orphanet	550	http://www.orpha.net/ORDO/Orphanet_550
Facioscapulohumeral dystrophy	Facioscapulohumeral dystrophy	Orphanet	269	http://www.orpha.net/ORDO/Orphanet_269
Kearns-Sayre syndrome	Kearns-Sayre syndrome	Orphanet	480	http://www.orpha.net/ORDO/Orphanet_480
Classic paraneoplastic limbic encephalitis	Classic paraneoplastic limbic encephalitis	Orphanet	163898	http://www.orpha.net/ORDO/Orphanet_163898
Myofibrillar myopathy	Myofibrillar myopathy	Orphanet	593	http://www.orpha.net/ORDO/Orphanet_593
Paraneoplastic limbic encephalitis	Paraneoplastic limbic encephalitis	Orphanet	163895	http://www.orpha.net/ORDO/Orphanet_163895
Limbic encephalitis with LGI1 antibodies	Limbic encephalitis with LGI1 antibodies	Orphanet	163908	http://www.orpha.net/ORDO/Orphanet_163908
Limbic encephalitis associated with antibodies to cell membrane antigens	Limbic encephalitis associated with antibodies to cell membrane antigens	Orphanet	163903	http://www.orpha.net/ORDO/Orphanet_163903
MERRF	MERRF	Orphanet	551	http://www.orpha.net/ORDO/Orphanet_551
Central core disease	Central core disease	Orphanet	597	http://www.orpha.net/ORDO/Orphanet_597
Nemaline myopathy	Nemaline myopathy	Orphanet	607	http://www.orpha.net/ORDO/Orphanet_607
Limbic encephalitis	Limbic encephalitis	Orphanet	163892	http://www.orpha.net/ORDO/Orphanet_163892
Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease	Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease	Orphanet	163746	http://www.orpha.net/ORDO/Orphanet_163746
Paramyotonia congenita of Von Eulenburg	Paramyotonia congenita of Von Eulenburg	Orphanet	684	http://www.orpha.net/ORDO/Orphanet_684
Acrodermatitis continua of Hallopeau	Acrodermatitis continua of Hallopeau	Orphanet	163931	http://www.orpha.net/ORDO/Orphanet_163931
Steinert myotonic dystrophy	Steinert myotonic dystrophy	Orphanet	273	http://www.orpha.net/ORDO/Orphanet_273
Pustulosis palmaris et plantaris	Pustulosis palmaris et plantaris	Orphanet	163927	http://www.orpha.net/ORDO/Orphanet_163927
X-linked intellectual disability, Najm type	X-linked intellectual disability, Najm type	Orphanet	163937	http://www.orpha.net/ORDO/Orphanet_163937
Atopic keratoconjunctivitis	Atopic keratoconjunctivitis	Orphanet	163934	http://www.orpha.net/ORDO/Orphanet_163934
Non-paraneoplastic limbic encephalitis	Non-paraneoplastic limbic encephalitis	Orphanet	163918	http://www.orpha.net/ORDO/Orphanet_163918
Non-herpetic acute limbic encephalitis	Non-herpetic acute limbic encephalitis	Orphanet	163924	http://www.orpha.net/ORDO/Orphanet_163924
Thomsen and Becker disease	Thomsen and Becker disease	Orphanet	614	http://www.orpha.net/ORDO/Orphanet_614
Posttransplant acute limbic encephalitis	Posttransplant acute limbic encephalitis	Orphanet	163921	http://www.orpha.net/ORDO/Orphanet_163921
X-linked dominant chondrodysplasia, Chassaing-Lacombe type	X-linked dominant chondrodysplasia, Chassaing-Lacombe type	Orphanet	163966	http://www.orpha.net/ORDO/Orphanet_163966
X-linked intellectual disability, Cilliers type	X-linked intellectual disability, Cilliers type	Orphanet	163971	http://www.orpha.net/ORDO/Orphanet_163971
X-linked intellectual disability, Van Esch type	X-linked intellectual disability, Van Esch type	Orphanet	163976	http://www.orpha.net/ORDO/Orphanet_163976
X-linked intellectual disability-craniofacioskeletal syndrome	X-linked intellectual disability-craniofacioskeletal syndrome	Orphanet	163979	http://www.orpha.net/ORDO/Orphanet_163979
X-linked intellectual disability, Raymond type	X-linked intellectual disability, Raymond type	Orphanet	163953	http://www.orpha.net/ORDO/Orphanet_163953
X-linked intellectual disability, Nascimento type	X-linked intellectual disability, Nascimento type	Orphanet	163956	http://www.orpha.net/ORDO/Orphanet_163956
X-linked cerebral-cerebellar-coloboma syndrome	X-linked cerebral-cerebellar-coloboma syndrome	Orphanet	163961	http://www.orpha.net/ORDO/Orphanet_163961
Middle ear anomaly	Middle ear anomaly	Orphanet	164004	http://www.orpha.net/ORDO/Orphanet_164004
Acute myeloid leukemia and myelodysplastic syndromes related to radiation	Acute myeloid leukemia and myelodysplastic syndromes related to radiation	Orphanet	164726	http://www.orpha.net/ORDO/Orphanet_164726
Fabry disease	Fabry disease	Orphanet	324	http://www.orpha.net/ORDO/Orphanet_324
X-linked intellectual disability-spastic quadriparesis syndrome	X-linked intellectual disability-spastic quadriparesis syndrome	Orphanet	163982	http://www.orpha.net/ORDO/Orphanet_163982
Hyperekplexia-epilepsy syndrome	Hyperekplexia-epilepsy syndrome	Orphanet	163985	http://www.orpha.net/ORDO/Orphanet_163985
Rett syndrome	Rett syndrome	Orphanet	778	http://www.orpha.net/ORDO/Orphanet_778
Rare odontal or periodontal disorder	Rare odontal or periodontal disorder	Orphanet	164001	http://www.orpha.net/ORDO/Orphanet_164001
Angelman syndrome	Angelman syndrome	Orphanet	72	http://www.orpha.net/ORDO/Orphanet_72
Genetic pancreatic disease	Genetic pancreatic disease	Orphanet	165661	http://www.orpha.net/ORDO/Orphanet_165661
Juvenile myoclonic epilepsy	Juvenile myoclonic epilepsy	Orphanet	307	http://www.orpha.net/ORDO/Orphanet_307
Genetic gastro-esophageal disease	Genetic gastro-esophageal disease	Orphanet	165658	http://www.orpha.net/ORDO/Orphanet_165658
Genetic intestinal disease	Genetic intestinal disease	Orphanet	165655	http://www.orpha.net/ORDO/Orphanet_165655
Rare genetic gastroenterological disease	Rare genetic gastroenterological disease	Orphanet	165652	http://www.orpha.net/ORDO/Orphanet_165652
Juvenile absence epilepsy	Juvenile absence epilepsy	Orphanet	1941	http://www.orpha.net/ORDO/Orphanet_1941
Von Hippel-Lindau disease	Von Hippel-Lindau disease	Orphanet	892	http://www.orpha.net/ORDO/Orphanet_892
Rare acquired aplastic anemia	Rare acquired aplastic anemia	Orphanet	164823	http://www.orpha.net/ORDO/Orphanet_164823
Autosomal recessive polycystic kidney disease	Autosomal recessive polycystic kidney disease	Orphanet	731	http://www.orpha.net/ORDO/Orphanet_731
Familial advanced sleep-phase syndrome	Familial advanced sleep-phase syndrome	Orphanet	164736	http://www.orpha.net/ORDO/Orphanet_164736
CHARGE syndrome	CHARGE syndrome	Orphanet	138	http://www.orpha.net/ORDO/Orphanet_138
Marfan syndrome	Marfan syndrome	Orphanet	558	http://www.orpha.net/ORDO/Orphanet_558
Familial mesial temporal lobe epilepsy with febrile seizures	Familial mesial temporal lobe epilepsy with febrile seizures	Orphanet	165805	http://www.orpha.net/ORDO/Orphanet_165805
Amyotrophic lateral sclerosis	Amyotrophic lateral sclerosis	Orphanet	803	http://www.orpha.net/ORDO/Orphanet_803
Rare abdominal surgical disease	Rare abdominal surgical disease	Orphanet	165711	http://www.orpha.net/ORDO/Orphanet_165711
NON RARE IN EUROPE: Multiple sclerosis	NON RARE IN EUROPE: Multiple sclerosis	Orphanet	802	http://www.orpha.net/ORDO/Orphanet_802
Syndromic urogenital tract malformation	Syndromic urogenital tract malformation	Orphanet	165707	http://www.orpha.net/ORDO/Orphanet_165707
Ataxia-telangiectasia	Ataxia-telangiectasia	Orphanet	100	http://www.orpha.net/ORDO/Orphanet_100
Non-syndromic urogenital tract malformation	Non-syndromic urogenital tract malformation	Orphanet	165704	http://www.orpha.net/ORDO/Orphanet_165704
Familial adenomatous polyposis	Familial adenomatous polyposis	Orphanet	733	http://www.orpha.net/ORDO/Orphanet_733
Huntington disease	Huntington disease	Orphanet	399	http://www.orpha.net/ORDO/Orphanet_399
Wound myiasis	Wound myiasis	Orphanet	165955	http://www.orpha.net/ORDO/Orphanet_165955
Lafora disease	Lafora disease	Orphanet	501	http://www.orpha.net/ORDO/Orphanet_501
Down syndrome	Down syndrome	Orphanet	870	http://www.orpha.net/ORDO/Orphanet_870
Cavitary myiasis	Cavitary myiasis	Orphanet	165958	http://www.orpha.net/ORDO/Orphanet_165958
Metachromatic leukodystrophy	Metachromatic leukodystrophy	Orphanet	512	http://www.orpha.net/ORDO/Orphanet_512
Multiple epiphyseal dysplasia, Beighton type	Multiple epiphyseal dysplasia, Beighton type	Orphanet	166011	http://www.orpha.net/ORDO/Orphanet_166011
22q11.2 deletion syndrome	22q11.2 deletion syndrome	Orphanet	567	http://www.orpha.net/ORDO/Orphanet_567
Multiple epiphyseal dysplasia, Lowry type	Multiple epiphyseal dysplasia, Lowry type	Orphanet	166016	http://www.orpha.net/ORDO/Orphanet_166016
Sickle cell anemia	Sickle cell anemia	Orphanet	232	http://www.orpha.net/ORDO/Orphanet_232
Pituitary resistance to thyroid hormone	Pituitary resistance to thyroid hormone	Orphanet	165994	http://www.orpha.net/ORDO/Orphanet_165994
Systemic lupus erythematosus	Systemic lupus erythematosus	Orphanet	536	http://www.orpha.net/ORDO/Orphanet_536
Multiple epiphyseal dysplasia due to collagen 9 anomaly	Multiple epiphyseal dysplasia due to collagen 9 anomaly	Orphanet	166002	http://www.orpha.net/ORDO/Orphanet_166002
Oculocerebrorenal syndrome of Lowe	Oculocerebrorenal syndrome of Lowe	Orphanet	534	http://www.orpha.net/ORDO/Orphanet_534
Diazoxide-resistant diffuse hyperinsulinism	Diazoxide-resistant diffuse hyperinsulinism	Orphanet	165988	http://www.orpha.net/ORDO/Orphanet_165988
Retinoblastoma	Retinoblastoma	Orphanet	790	http://www.orpha.net/ORDO/Orphanet_790
Exercise-induced hyperinsulinism	Exercise-induced hyperinsulinism	Orphanet	165991	http://www.orpha.net/ORDO/Orphanet_165991
Multiple endocrine neoplasia type 1	Multiple endocrine neoplasia type 1	Orphanet	652	http://www.orpha.net/ORDO/Orphanet_652
Diazoxide-sensitive diffuse hyperinsulinism	Diazoxide-sensitive diffuse hyperinsulinism	Orphanet	165985	http://www.orpha.net/ORDO/Orphanet_165985
Fragile X syndrome	Fragile X syndrome	Orphanet	908	http://www.orpha.net/ORDO/Orphanet_908
Rheumatic fever	Rheumatic fever	Orphanet	3099	http://www.orpha.net/ORDO/Orphanet_3099
Prader-Willi syndrome	Prader-Willi syndrome	Orphanet	739	http://www.orpha.net/ORDO/Orphanet_739
X-linked agammaglobulinemia	X-linked agammaglobulinemia	Orphanet	47	http://www.orpha.net/ORDO/Orphanet_47
Mucopolysaccharidosis type 2	Mucopolysaccharidosis type 2	Orphanet	580	http://www.orpha.net/ORDO/Orphanet_580
Mucopolysaccharidosis type 1	Mucopolysaccharidosis type 1	Orphanet	579	http://www.orpha.net/ORDO/Orphanet_579
Wilson disease	Wilson disease	Orphanet	905	http://www.orpha.net/ORDO/Orphanet_905
Non-syndromic cerebral malformation due to abnormal neuronal migration	Non-syndromic cerebral malformation due to abnormal neuronal migration	Orphanet	163209	http://www.orpha.net/ORDO/Orphanet_163209
X-linked retinoschisis	X-linked retinoschisis	Orphanet	792	http://www.orpha.net/ORDO/Orphanet_792
X-linked mixed deafness with perilymphatic gusher	X-linked mixed deafness with perilymphatic gusher	Orphanet	383	http://www.orpha.net/ORDO/Orphanet_383
Subacute cutaneous lupus erythematosus	Subacute cutaneous lupus erythematosus	Orphanet	163525	http://www.orpha.net/ORDO/Orphanet_163525
Stargardt disease	Stargardt disease	Orphanet	827	http://www.orpha.net/ORDO/Orphanet_827
Rare bacterial infectious disease	Rare bacterial infectious disease	Orphanet	163582	http://www.orpha.net/ORDO/Orphanet_163582
Chronic cutaneous lupus erythematosus	Chronic cutaneous lupus erythematosus	Orphanet	163531	http://www.orpha.net/ORDO/Orphanet_163531
Wiskott-Aldrich syndrome	Wiskott-Aldrich syndrome	Orphanet	906	http://www.orpha.net/ORDO/Orphanet_906
Williams syndrome	Williams syndrome	Orphanet	904	http://www.orpha.net/ORDO/Orphanet_904
Wolf-Hirschhorn syndrome	Wolf-Hirschhorn syndrome	Orphanet	280	http://www.orpha.net/ORDO/Orphanet_280
Isolated congenital nasal pyriform aperture stenosis	Isolated congenital nasal pyriform aperture stenosis	Orphanet	162516	http://www.orpha.net/ORDO/Orphanet_162516
Achondroplasia	Achondroplasia	Orphanet	15	http://www.orpha.net/ORDO/Orphanet_15
Ataxia with vitamin E deficiency	Ataxia with vitamin E deficiency	Orphanet	96	http://www.orpha.net/ORDO/Orphanet_96
Isolated congenital auditory ossicle malformation	Isolated congenital auditory ossicle malformation	Orphanet	162526	http://www.orpha.net/ORDO/Orphanet_162526
Dentatorubral pallidoluysian atrophy	Dentatorubral pallidoluysian atrophy	Orphanet	101	http://www.orpha.net/ORDO/Orphanet_101
Rubinstein-Taybi syndrome	Rubinstein-Taybi syndrome	Orphanet	783	http://www.orpha.net/ORDO/Orphanet_783
Spondyloepiphyseal dysplasia, Nishimura type	Spondyloepiphyseal dysplasia, Nishimura type	Orphanet	163649	http://www.orpha.net/ORDO/Orphanet_163649
Non-acquired isolated growth hormone deficiency	Non-acquired isolated growth hormone deficiency	Orphanet	631	http://www.orpha.net/ORDO/Orphanet_631
T-B+ severe combined immunodeficiency due to gamma chain deficiency	T-B+ severe combined immunodeficiency due to gamma chain deficiency	Orphanet	276	http://www.orpha.net/ORDO/Orphanet_276
Spondyloepiphyseal dysplasia, Cantu type	Spondyloepiphyseal dysplasia, Cantu type	Orphanet	163654	http://www.orpha.net/ORDO/Orphanet_163654
Kennedy disease	Kennedy disease	Orphanet	481	http://www.orpha.net/ORDO/Orphanet_481
Ornithine transcarbamylase deficiency	Ornithine transcarbamylase deficiency	Orphanet	664	http://www.orpha.net/ORDO/Orphanet_664
Spondyloepiphyseal dysplasia, MacDermot type	Spondyloepiphyseal dysplasia, MacDermot type	Orphanet	163668	http://www.orpha.net/ORDO/Orphanet_163668
Spondyloepiphyseal dysplasia, Byers type	Spondyloepiphyseal dysplasia, Byers type	Orphanet	163673	http://www.orpha.net/ORDO/Orphanet_163673
Spondyloepiphyseal dysplasia, Reardon type	Spondyloepiphyseal dysplasia, Reardon type	Orphanet	163662	http://www.orpha.net/ORDO/Orphanet_163662
Classic homocystinuria	Classic homocystinuria	Orphanet	394	http://www.orpha.net/ORDO/Orphanet_394
Spondyloepiphyseal dysplasia tarda, Kohn type	Spondyloepiphyseal dysplasia tarda, Kohn type	Orphanet	163665	http://www.orpha.net/ORDO/Orphanet_163665
Leprechaunism	Leprechaunism	Orphanet	508	http://www.orpha.net/ORDO/Orphanet_508
Rare mycosis	Rare mycosis	Orphanet	163591	http://www.orpha.net/ORDO/Orphanet_163591
Hypophosphatasia	Hypophosphatasia	Orphanet	436	http://www.orpha.net/ORDO/Orphanet_436
Hb Bart's hydrops fetalis	Hb Bart's hydrops fetalis	Orphanet	163596	http://www.orpha.net/ORDO/Orphanet_163596
Rare viral disease	Rare viral disease	Orphanet	163585	http://www.orpha.net/ORDO/Orphanet_163585
Hypochondroplasia	Hypochondroplasia	Orphanet	429	http://www.orpha.net/ORDO/Orphanet_429
Rare parasitic disease	Rare parasitic disease	Orphanet	163588	http://www.orpha.net/ORDO/Orphanet_163588
Hypophosphatemic rickets	Hypophosphatemic rickets	Orphanet	437	http://www.orpha.net/ORDO/Orphanet_437
Rare disorder related with pregnancy, childbirth and puerperium	Rare disorder related with pregnancy, childbirth and puerperium	Orphanet	163637	http://www.orpha.net/ORDO/Orphanet_163637
Leber hereditary optic neuropathy	Leber hereditary optic neuropathy	Orphanet	104	http://www.orpha.net/ORDO/Orphanet_104
Bile acid synthesis defect with cholestasis and malabsorption	Bile acid synthesis defect with cholestasis and malabsorption	Orphanet	163631	http://www.orpha.net/ORDO/Orphanet_163631
Hydrocephalus with stenosis of the aqueduct of Sylvius	Hydrocephalus with stenosis of the aqueduct of Sylvius	Orphanet	2182	http://www.orpha.net/ORDO/Orphanet_2182
Maffucci syndrome	Maffucci syndrome	Orphanet	163634	http://www.orpha.net/ORDO/Orphanet_163634
Benign familial mesial temporal lobe epilepsy	Benign familial mesial temporal lobe epilepsy	Orphanet	163717	http://www.orpha.net/ORDO/Orphanet_163717
